LLK;parmB1;parmB2;parmB3;LIT_frg;POM_split;DOC_frg;DOC_lch;parmK1;parmK2;parmK3;parmK4;parmK5;parmK9;parmK10;la_2;la_3;sigma2Litter;sigma2Soil
-1726.1992658669617;0.539667866130996;0.5764755432228419;0.7795386241467646;4.5780963798212163E-5;0.8061214238791807;0.4381176461985594;1.0494813969109819E-4;0.43296937286634307;0.0011046557013109244;1.0617206603421474E-4;0.8761800235030395;6.146810014526476E-5;1.037714469050161E-5;5.361457635824816E-4;0.023347822857603267;0.015334079813700177;240.3017713315456;699.8579181531951
-1719.4191359517615;0.6609027112308922;0.5994244463377694;0.7582357360349656;3.994729283853683E-5;0.8078768041009122;0.4467446410302022;4.879524451499056E-5;0.4288068056406211;0.001100729702123672;1.067828891850621E-4;0.8775999531470763;6.051323672941521E-5;1.040955410507655E-5;5.369363846589158E-4;0.02339768757650558;0.015105276550525664;240.98239515829354;699.9834622675289
-1724.4045425058723;0.6602178003037715;0.5091340687556684;0.7529782860527647;3.561210252673923E-5;0.8140730516728873;0.45609453544648626;7.484319566552118E-5;0.42985826305164365;0.0011101530325385424;1.0728160349691933E-4;0.8762968941315776;6.079012125039359E-5;1.044180610773573E-5;5.368289440177716E-4;0.02364757009293677;0.01504016287744508;241.56131715503562;700.7664666759158
-1722.0405554318363;0.6798770787919816;0.5768382031506817;0.7043167679264365;4.1175705259824436E-5;0.8180505806880206;0.4804616147476177;4.571890607925204E-5;0.4300851528538619;0.0011016293718470887;1.0615121925499573E-4;0.8797086504241683;6.017602896427264E-5;1.038805512986745E-5;5.361423851755074E-4;0.023439956616821935;0.014907525377753101;239.3637797369111;699.7042811574113
-1726.279863278042;0.6478283197057904;0.5186302054252706;0.7188288020847632;4.205802568547281E-5;0.8201715298717958;0.4676134939688341;3.454404815061628E-5;0.4197383322209973;0.0011169107346757814;1.0483330283897749E-4;0.8836641124013427;6.0407682228076E-5;1.0424170070502788E-5;5.348914553383692E-4;0.023553813802604462;0.01486320001752376;237.46419039943564;699.3421694818617
-1719.0045872154801;0.6377883337980935;0.577392222576805;0.78398048734063;3.444349024443027E-5;0.8253567044831883;0.4408153569338783;6.023629283587366E-5;0.4142372379840605;0.0011071362370286106;1.0472753125905693E-4;0.883058692716883;6.055410268508697E-5;1.0388767925391433E-5;5.340695514401299E-4;0.02388760320959994;0.014855458109179437;236.7718413007289;700.1967004725956
-1717.9282707483396;0.6738536117912275;0.5635144361138117;0.7675026153231379;3.551600772897621E-5;0.8289580430407871;0.43390510124753684;4.983477398783137E-5;0.42340412594418003;0.001101138549795913;1.0380998758598929E-4;0.8831470639062687;6.0221207909012826E-5;1.0339506899968749E-5;5.338677188396127E-4;0.02365842381846496;0.014886766542879952;234.79004121495961;700.3546711404593
-1716.8845345470907;0.681994093944046;0.5850719263129358;0.7796528781960607;3.396740010624956E-5;0.8288788038685303;0.4322846461747237;3.976374472461022E-5;0.4273298624218042;0.0011021184033899406;1.0439860938877945E-4;0.8820114916373455;6.088938802306003E-5;1.0398012932904721E-5;5.347631190812837E-4;0.024056194444622724;0.014831805393620988;234.01596153494742;699.8030412334547
-1717.256018465491;0.6829000322392236;0.5687819418441238;0.7817165781302277;3.243292149674752E-5;0.8248309658153037;0.4478696516922697;3.2090819784637966E-5;0.4326485467870725;0.001102787099493036;1.0255269100398982E-4;0.8826088204250734;6.0600436593448754E-5;1.0270108295827199E-5;5.35226069353505E-4;0.024362101975749954;0.014795510071650522;234.2842352781639;698.1925664520381
-1718.509412572277;0.6866051986935726;0.5859994248878102;0.7686528111447345;3.463147703494249E-5;0.8273366716385332;0.44237567633258273;4.497520233328935E-5;0.4342549613272842;0.0011149290533127288;1.0147310984892617E-4;0.8832066250922271;6.063081255525526E-5;1.0361057790252607E-5;5.347962877030538E-4;0.02430970494119633;0.014793451904373343;236.5640369952343;698.819914192769
-1716.395691521005;0.6915322449548609;0.5925041300127315;0.7830350229752024;3.5501962438555316E-5;0.8280855507244537;0.46222801263092494;5.690364042699996E-5;0.43558646895176534;0.001102846886954724;1.014784342648409E-4;0.879033859046023;6.073739681409101E-5;1.0468882041600891E-5;5.356883092337986E-4;0.024487687281319163;0.014760654249603159;237.03324912572825;699.1309897250101
-1723.602779855342;0.6596469256689536;0.5514197691199951;0.7701353169705125;4.5053835218027515E-5;0.8215411627875657;0.4763592774091784;5.653677826792851E-5;0.4363813315768143;0.0011184651525481385;9.954114875936794E-5;0.8797980925771063;6.074776384254342E-5;1.0503659617240832E-5;5.353731422454703E-4;0.02444736217454806;0.014699947021930521;238.55272429769823;700.036692073123
-1718.9105401381603;0.6883108748452501;0.5817150720097214;0.7650136238992412;3.136631305135955E-5;0.8281792217031427;0.4881135134574697;4.386482594228249E-5;0.43162787215051185;0.0011199982495798113;9.775647247884654E-5;0.8817244770606502;6.012627224292385E-5;1.0459217379956416E-5;5.34839066023796E-4;0.02442967806048396;0.014643821267687866;236.38751702437062;699.9861529809624
-1720.1913479813466;0.610468059943726;0.5829918210779105;0.7745689995255369;3.543217977352748E-5;0.8229705435068767;0.49846567254315455;1.1953468501646189E-5;0.43536192946833413;0.0011035832926470735;9.768229918825534E-5;0.8813306687446331;6.085950478621155E-5;1.0512257009642308E-5;5.341007724849964E-4;0.024751112236059906;0.014638060995495967;235.59078325019155;701.9677348628225
-1719.4396697200614;0.6994194887621887;0.5891417617532506;0.7695800491429989;3.8750305569756E-5;0.8238417855147155;0.502969863600342;1.7279890261883922E-5;0.43842197056011734;0.0011186902433247907;9.696963618835032E-5;0.8800362037431648;6.107115198586103E-5;1.0485425118033346E-5;5.342428585552118E-4;0.024720744042759035;0.014606022256408412;236.88318134727223;702.0684342295808
-1720.7612672739783;0.6476670512973024;0.5598136891246406;0.7845558595804067;3.7782052500736816E-5;0.8259654969886498;0.5217811581157296;3.876453762939726E-5;0.4399517622315766;0.0011173835096629423;9.775738741576466E-5;0.8795947941368065;6.065215175327052E-5;1.0528089692998737E-5;5.343904138857284E-4;0.024436708167778147;0.014420054651746715;238.83081775471476;703.7539787629763
-1719.0836162933842;0.6914092953607941;0.5351359417407631;0.782577806063536;3.9375304634604314E-5;0.8275095106610565;0.49111205930816043;6.653957786527807E-5;0.4324875249691805;0.0011001483695565481;9.677916365294854E-5;0.8824291531249155;6.090051056452781E-5;1.0547214368065085E-5;5.335773655596719E-4;0.023412470392648883;0.01456740375015581;238.14590230563445;704.8935474924895
-1727.2122446617122;0.5429991628064073;0.5847456504778781;0.7776642434817373;2.8623280057876944E-5;0.823494810384937;0.46862148310158536;7.331079401415479E-5;0.43477439575727467;0.001137450810836016;9.785951927188656E-5;0.8822364571409911;6.023693495601032E-5;1.0503333804329636E-5;5.321663209871641E-4;0.02313244126084123;0.01461973383097752;236.26773634847797;704.6157394120008
-1724.775828776397;0.626281136185917;0.5418779390690288;0.7581717914692632;4.1485167222904604E-5;0.8136703175737854;0.4653418899286167;1.7898277158541164E-5;0.432389385562507;0.0011171788291004766;9.971054376954566E-5;0.8811856215118136;6.0947894933288904E-5;1.043456706329E-5;5.33294994066396E-4;0.023122605605856383;0.014529302232180564;238.02465273161692;705.8776878214161
